date,amount,payer_type,payment_delay_days
2024-01-01,5141.22,Private Pay,33
2024-01-02,2860.21,Insurance,22
2024-01-03,4377.68,Insurance,36
2024-01-04,3825.88,Insurance,10
2024-01-05,4099.5,Medicare,5
2024-01-06,4613.85,Medicare,17
2024-01-07,4258.01,Insurance,20
2024-01-08,4389.51,Medicare,41
2024-01-09,4202.25,Medicare,35
2024-01-10,3931.34,Private Pay,40
2024-01-11,5201.59,Insurance,37
2024-01-12,2542.71,Insurance,33
2024-01-13,4594.55,Medicare,16
2024-01-14,4479.28,Insurance,36
2024-01-15,5006.63,Private Pay,24
2024-01-16,4596.6,Private Pay,37
2024-01-17,5393.8,Private Pay,57
2024-01-18,5856.76,Insurance,11
2024-01-19,3698.83,Insurance,22
2024-01-20,3295.73,Insurance,52
2024-01-21,3982.59,Insurance,41
2024-01-22,3507.75,Insurance,21
2024-01-23,4652.33,Private Pay,20
2024-01-24,5691.48,Medicare,26
2024-01-25,2986.91,Private Pay,56
2024-01-26,2852.78,Insurance,30
2024-01-27,3396.05,Private Pay,5
2024-01-28,5041.33,Insurance,26
2024-01-29,4575.37,Insurance,39
2024-01-30,2857.74,Private Pay,33
2024-01-31,5715.63,Insurance,11
2024-02-01,5265.3,Medicare,44
2024-02-02,2580.58,Insurance,56
2024-02-03,4779.79,Medicare,52
2024-02-04,5199.36,Medicare,6
2024-02-05,3810.52,Insurance,9
2024-02-06,2741.23,Private Pay,44
2024-02-07,2770.62,Medicare,16
2024-02-08,2864.86,Private Pay,25
2024-02-09,5441.54,Medicare,20
2024-02-10,5687.4,Insurance,27
2024-02-11,2929.84,Insurance,57
2024-02-12,3325.67,Medicare,45
2024-02-13,3079.32,Insurance,1
2024-02-14,3152.12,Medicare,59
2024-02-15,5431.22,Insurance,53
2024-02-16,3662.51,Private Pay,42
2024-02-17,3590.05,Insurance,0
2024-02-18,3295.88,Private Pay,50
2024-02-19,4627.63,Insurance,52
2024-02-20,3827.57,Private Pay,35
2024-02-21,5104.87,Insurance,50
2024-02-22,3219.53,Private Pay,25
2024-02-23,5257.26,Medicare,28
2024-02-24,4613.03,Medicare,20
2024-02-25,2899.94,Private Pay,10
2024-02-26,3950.77,Insurance,39
2024-02-27,5522.31,Private Pay,10
2024-02-28,5730.36,Insurance,35
2024-02-29,4129.95,Medicare,48
2024-03-01,4182.93,Insurance,58
2024-03-02,5714.59,Medicare,38
2024-03-03,4554.74,Insurance,39
2024-03-04,2614.96,Insurance,34
2024-03-05,5694.62,Insurance,53
2024-03-06,3368.79,Private Pay,33
2024-03-07,4521.71,Private Pay,54
2024-03-08,3079.3,Medicare,46
2024-03-09,2618.58,Medicare,23
2024-03-10,3590.16,Private Pay,53
2024-03-11,5231.73,Medicare,21
2024-03-12,3471.56,Private Pay,4
2024-03-13,3270.34,Insurance,55
2024-03-14,3244.38,Medicare,32
2024-03-15,4303.11,Medicare,57
2024-03-16,5914.39,Private Pay,35
2024-03-17,4106.46,Medicare,46
2024-03-18,4450.57,Medicare,19
2024-03-19,5512.21,Insurance,18
2024-03-20,4372.74,Medicare,34
2024-03-21,3145.62,Insurance,51
2024-03-22,3548.59,Private Pay,42
2024-03-23,3584.78,Medicare,16
2024-03-24,3890.61,Insurance,58
2024-03-25,3993.76,Private Pay,44
2024-03-26,5299.24,Medicare,42
2024-03-27,3722.85,Private Pay,33
2024-03-28,4138.81,Medicare,8
2024-03-29,4687.42,Private Pay,25
2024-03-30,3822.04,Private Pay,1
2024-03-31,5427.98,Insurance,52
2024-04-01,4556.09,Private Pay,8
2024-04-02,3529.16,Medicare,8
2024-04-03,4999.21,Medicare,39
2024-04-04,4346.77,Insurance,16
2024-04-05,4370.6,Medicare,0
2024-04-06,4183.81,Medicare,24
2024-04-07,4239.54,Medicare,42
2024-04-08,5178.75,Private Pay,39
2024-04-09,2860.44,Private Pay,41
