date,total_cost,hourly_rate,staff_count,care_level
2024-01-01,45000,28.50,45,Basic
2024-01-15,48000,29.00,46,Advanced
2024-02-01,47500,28.75,47,Basic
2024-02-15,49000,29.25,48,Advanced
2024-03-01,50000,29.50,49,Basic
2024-03-15,51500,30.00,50,Advanced
2024-04-01,52000,30.25,51,Basic
2024-04-15,53000,30.50,52,Advanced
2024-05-01,54500,31.00,53,Basic
2024-05-15,55000,31.25,54,Advanced
2024-06-01,56500,31.75,55,Basic
2024-06-15,57000,32.00,56,Advanced
2024-07-01,58500,32.50,57,Basic
2024-07-15,59000,32.75,58,Advanced
2024-08-01,60500,33.25,59,Basic
2024-08-15,61000,33.50,60,Advanced
2024-09-01,62500,34.00,61,Basic
2024-09-15,63000,34.25,62,Advanced
2024-10-01,64500,34.75,63,Basic
2024-10-15,65000,35.00,64,Advanced
2024-11-01,66500,35.50,65,Basic
2024-11-15,67000,35.75,66,Advanced
2024-12-01,68500,36.25,67,Basic
2024-12-15,69000,36.50,68,Advanced
