date,amount,payer_type,payment_delay_days
2025-08-01,3200,Private Pay,15
2025-08-02,4500,Medicare,30
2025-08-03,3800,Insurance,25
2025-08-04,4200,Private Pay,10
2025-08-05,3900,Medicare,35
2025-08-06,4100,Insurance,20
2025-08-07,3700,Private Pay,12
2025-08-08,4800,Medicare,28
2025-08-09,3600,Insurance,22
2025-08-10,4300,Private Pay,18
2025-08-11,3950,Medicare,32
2025-08-12,4150,Insurance,24
2025-08-13,3750,Private Pay,14
2025-08-14,4900,Medicare,30
2025-08-15,3650,Insurance,26
2025-08-16,4400,Private Pay,16
2025-08-17,4000,Medicare,33
2025-08-18,4200,Insurance,21
2025-08-19,3800,Private Pay,13
2025-08-20,5000,Medicare,29
2025-08-21,3700,Insurance,27
2025-08-22,4500,Private Pay,19
2025-08-23,4050,Medicare,31
2025-08-24,4250,Insurance,23
2025-08-25,3850,Private Pay,15
2025-08-26,5100,Medicare,28
2025-08-27,3750,Insurance,25
2025-08-28,4600,Private Pay,17
2025-08-29,4100,Medicare,34
2025-08-30,4300,Insurance,22
2025-08-31,3900,Private Pay,14
2025-09-01,5200,Medicare,30
2025-09-02,3800,Insurance,26
2025-09-03,4700,Private Pay,18
2025-09-04,4150,Medicare,32
2025-09-05,4350,Insurance,24
2025-09-06,3950,Private Pay,16
2025-09-07,5300,Medicare,29
2025-09-08,3850,Insurance,27
2025-09-09,4800,Private Pay,19
2025-09-10,4200,Medicare,33
2025-09-11,4400,Insurance,25
2025-09-12,4000,Private Pay,15
2025-09-13,5400,Medicare,31
2025-09-14,3900,Insurance,28
2025-09-15,4900,Private Pay,20
2025-09-16,4250,Medicare,34
2025-09-17,4450,Insurance,26
2025-09-18,4050,Private Pay,17
2025-09-19,5500,Medicare,30
2025-09-20,3950,Insurance,29
2025-09-21,5000,Private Pay,21
2025-09-22,4300,Medicare,35
2025-09-23,4500,Insurance,27
2025-09-24,4100,Private Pay,18
2025-09-25,5600,Medicare,32
2025-09-26,4000,Insurance,30
2025-09-27,5100,Private Pay,22
2025-09-28,4350,Medicare,36
2025-09-29,4550,Insurance,28
2025-09-30,4150,Private Pay,19
2025-10-01,5700,Medicare,33
2025-10-02,4050,Insurance,31
2025-10-03,5200,Private Pay,23
2025-10-04,4400,Medicare,37
2025-10-05,4600,Insurance,29
2025-10-06,4200,Private Pay,20
2025-10-07,5800,Medicare,34
2025-10-08,4100,Insurance,32
2025-10-09,5300,Private Pay,24
2025-10-10,4450,Medicare,38
2025-10-11,4650,Insurance,30
2025-10-12,4250,Private Pay,21
2025-10-13,5900,Medicare,35
2025-10-14,4150,Insurance,33
2025-10-15,5400,Private Pay,25
2025-10-16,4500,Medicare,39
2025-10-17,4700,Insurance,31
2025-10-18,4300,Private Pay,22
2025-10-19,6000,Medicare,36
2025-10-20,4200,Insurance,34
2025-10-21,5500,Private Pay,26
2025-10-22,4550,Medicare,40
2025-10-23,4750,Insurance,32
2025-10-24,4350,Private Pay,23
2025-10-25,6100,Medicare,37
2025-10-26,4250,Insurance,35
2025-10-27,5600,Private Pay,27
2025-10-28,4600,Medicare,41
2025-10-29,4800,Insurance,33
2025-10-30,4400,Private Pay,24
2025-10-31,6200,Medicare,38
2025-11-01,4300,Insurance,36
2025-11-02,5700,Private Pay,28
2025-11-03,4650,Medicare,42
2025-11-04,4850,Insurance,34
2025-11-05,4450,Private Pay,25
2025-11-06,6300,Medicare,39
2025-11-07,4350,Insurance,37
2025-11-08,5800,Private Pay,29
2025-11-09,4700,Medicare,43
2025-11-10,4900,Insurance,35
2025-11-11,4500,Private Pay,26
2025-11-12,6400,Medicare,40
2025-11-13,4400,Insurance,38
2025-11-14,5900,Private Pay,30
2025-11-15,4750,Medicare,44
2025-11-16,4950,Insurance,36
2025-11-17,4550,Private Pay,27
2025-11-18,6500,Medicare,41
2025-11-19,4450,Insurance,39
2025-11-20,6000,Private Pay,31
2025-11-21,4800,Medicare,45
2025-11-22,5000,Insurance,37
2025-11-23,4600,Private Pay,28
2025-11-24,6600,Medicare,42
2025-11-25,4500,Insurance,40
2025-11-26,6100,Private Pay,32
2025-11-27,4850,Medicare,46
2025-11-28,5050,Insurance,38
2025-11-29,4650,Private Pay,29
2025-11-30,6700,Medicare,43
2025-12-01,4550,Insurance,41
2025-12-02,6200,Private Pay,33
2025-12-03,4900,Medicare,47
2025-12-04,5100,Insurance,39
2025-12-05,4700,Private Pay,30
2025-12-06,6800,Medicare,44
2025-12-07,4600,Insurance,42
2025-12-08,6300,Private Pay,34
2025-12-09,4950,Medicare,48
2025-12-10,5150,Insurance,40
2025-12-11,4750,Private Pay,31
2025-12-12,6900,Medicare,45
2025-12-13,4650,Insurance,43
2025-12-14,6400,Private Pay,35
2025-12-15,5000,Medicare,49
2025-12-16,5200,Insurance,41
2025-12-17,4800,Private Pay,32
2025-12-18,7000,Medicare,46
2025-12-19,4700,Insurance,44
2025-12-20,6500,Private Pay,36
2025-12-21,5050,Medicare,50
2025-12-22,5250,Insurance,42
2025-12-23,4850,Private Pay,33
2025-12-24,7100,Medicare,47
2025-12-25,4750,Insurance,45
2025-12-26,6600,Private Pay,37
2025-12-27,5100,Medicare,48
2025-12-28,5300,Insurance,43
2025-12-29,4900,Private Pay,34
2025-12-30,7200,Medicare,46
2025-12-31,4800,Insurance,44
