date,total_cost,hourly_rate,staff_count,care_level
2025-08-01,5200,28,15,Advanced
2025-08-02,4800,26,14,Basic
2025-08-03,5500,29,16,Advanced
2025-08-04,4900,27,15,Basic
2025-08-05,5300,28,15,Advanced
2025-08-06,4700,25,14,Basic
2025-08-07,5600,30,16,Advanced
2025-08-08,5100,27,15,Basic
2025-08-09,4950,26,14,Advanced
2025-08-10,5400,29,16,Basic
2025-08-11,4850,26,15,Advanced
2025-08-12,5250,28,15,Basic
2025-08-13,5550,29,16,Advanced
2025-08-14,4950,27,14,Basic
2025-08-15,5350,28,15,Advanced
2025-08-16,4750,25,14,Basic
2025-08-17,5650,30,17,Advanced
2025-08-18,5150,27,15,Basic
2025-08-19,5050,26,15,Advanced
2025-08-20,5450,29,16,Basic
2025-08-21,4900,26,14,Advanced
2025-08-22,5300,28,15,Basic
2025-08-23,5600,29,16,Advanced
2025-08-24,5000,27,15,Basic
2025-08-25,5400,28,16,Advanced
2025-08-26,4800,25,14,Basic
2025-08-27,5700,30,17,Advanced
2025-08-28,5200,27,15,Basic
2025-08-29,5100,26,15,Advanced
2025-08-30,5500,29,16,Basic
2025-08-31,4950,26,14,Advanced
2025-09-01,5350,28,15,Basic
2025-09-02,5650,29,17,Advanced
2025-09-03,5050,27,15,Basic
2025-09-04,5450,28,16,Advanced
2025-09-05,4850,25,14,Basic
2025-09-06,5750,30,17,Advanced
2025-09-07,5250,27,15,Basic
2025-09-08,5150,26,15,Advanced
2025-09-09,5550,29,16,Basic
2025-09-10,5000,26,14,Advanced
2025-09-11,5400,28,16,Basic
2025-09-12,5700,29,17,Advanced
2025-09-13,5100,27,15,Basic
2025-09-14,5500,28,16,Advanced
2025-09-15,4900,25,14,Basic
2025-09-16,5800,30,17,Advanced
2025-09-17,5300,27,16,Basic
2025-09-18,5200,26,15,Advanced
2025-09-19,5600,29,16,Basic
2025-09-20,5050,26,15,Advanced
2025-09-21,5450,28,16,Basic
2025-09-22,5750,29,17,Advanced
2025-09-23,5150,27,15,Basic
2025-09-24,5550,28,16,Advanced
2025-09-25,4950,25,14,Basic
2025-09-26,5850,30,18,Advanced
2025-09-27,5350,27,16,Basic
2025-09-28,5250,26,15,Advanced
2025-09-29,5650,29,17,Basic
2025-09-30,5100,26,15,Advanced
2025-10-01,5500,28,16,Basic
2025-10-02,5800,29,17,Advanced
2025-10-03,5200,27,15,Basic
2025-10-04,5600,28,16,Advanced
2025-10-05,5000,25,14,Basic
2025-10-06,5900,30,18,Advanced
2025-10-07,5400,27,16,Basic
2025-10-08,5300,26,15,Advanced
2025-10-09,5700,29,17,Basic
2025-10-10,5150,26,15,Advanced
2025-10-11,5550,28,16,Basic
2025-10-12,5850,29,17,Advanced
2025-10-13,5250,27,15,Basic
2025-10-14,5650,28,16,Advanced
2025-10-15,5050,25,15,Basic
2025-10-16,5950,30,18,Advanced
2025-10-17,5450,27,16,Basic
2025-10-18,5350,26,15,Advanced
2025-10-19,5750,29,17,Basic
2025-10-20,5200,26,15,Advanced
2025-10-21,5600,28,16,Basic
2025-10-22,5900,29,18,Advanced
2025-10-23,5300,27,15,Basic
2025-10-24,5700,28,17,Advanced
2025-10-25,5100,25,15,Basic
2025-10-26,6000,30,18,Advanced
2025-10-27,5500,27,16,Basic
2025-10-28,5400,26,16,Advanced
2025-10-29,5800,29,17,Basic
2025-10-30,5250,26,15,Advanced
2025-10-31,5650,28,16,Basic
2025-11-01,5950,29,18,Advanced
2025-11-02,5350,27,16,Basic
2025-11-03,5750,28,17,Advanced
2025-11-04,5150,25,15,Basic
2025-11-05,6050,30,18,Advanced
2025-11-06,5550,27,16,Basic
2025-11-07,5450,26,16,Advanced
2025-11-08,5850,29,17,Basic
2025-11-09,5300,26,15,Advanced
2025-11-10,5700,28,17,Basic
2025-11-11,6000,29,18,Advanced
2025-11-12,5400,27,16,Basic
2025-11-13,5800,28,17,Advanced
2025-11-14,5200,25,15,Basic
2025-11-15,6100,30,19,Advanced
2025-11-16,5600,27,16,Basic
2025-11-17,5500,26,16,Advanced
2025-11-18,5900,29,17,Basic
2025-11-19,5350,26,15,Advanced
2025-11-20,5750,28,17,Basic
2025-11-21,6050,29,18,Advanced
2025-11-22,5450,27,16,Basic
2025-11-23,5850,28,17,Advanced
2025-11-24,5250,25,15,Basic
2025-11-25,6150,30,19,Advanced
2025-11-26,5650,27,17,Basic
2025-11-27,5550,26,16,Advanced
2025-11-28,5950,29,18,Basic
2025-11-29,5400,26,16,Advanced
2025-11-30,5800,28,17,Basic
2025-12-01,6100,29,18,Advanced
2025-12-02,5500,27,16,Basic
2025-12-03,5900,28,17,Advanced
2025-12-04,5300,25,15,Basic
2025-12-05,6200,30,19,Advanced
2025-12-06,5700,27,17,Basic
2025-12-07,5600,26,16,Advanced
2025-12-08,6000,29,18,Basic
2025-12-09,5450,26,16,Advanced
2025-12-10,5850,28,17,Basic
2025-12-11,6150,29,19,Advanced
2025-12-12,5550,27,16,Basic
2025-12-13,5950,28,18,Advanced
2025-12-14,5350,25,15,Basic
2025-12-15,6250,30,19,Advanced
2025-12-16,5750,27,17,Basic
2025-12-17,5650,26,16,Advanced
2025-12-18,6050,29,18,Basic
2025-12-19,5500,26,16,Advanced
2025-12-20,5900,28,17,Basic
2025-12-21,6200,29,19,Advanced
2025-12-22,5600,27,17,Basic
2025-12-23,6000,28,18,Advanced
2025-12-24,5400,25,16,Basic
2025-12-25,6300,30,19,Advanced
2025-12-26,5800,27,17,Basic
2025-12-27,5700,26,17,Advanced
2025-12-28,6100,29,18,Basic
2025-12-29,5550,26,16,Advanced
2025-12-30,5950,28,18,Basic
2025-12-31,6250,29,19,Advanced
